Patron_1;Patron_2;Patron_3;Patron_4;CurrentPlayerPrestige;CurrentPlayerDeck_PrestigeStrength;CurrentPlayerDeck_PowerStrength;CurrentPlayerDeck_GoldStrength;CurrentPlayerDeck_MiscStrength;CurrentPlayerDeckComboProportion;CurrentPlayerAgent_PowerStrength;CurrentPlayerAgent_GoldStrength;CurrentPlayerAgent_MiscStrength;CurrentPlayerPatronFavour;OpponentPrestige;OpponentDeck_PrestigeStrength;OpponentDeck_PowerStrength;OpponentDeck_GoldStrength;OpponentDeck_MiscStrength;OpponentAgent_PowerStrength;OpponentAgent_GoldStrength;OpponentAgent_MiscStrength;OpponentPatronFavour;WinProbability
0;1;2;4;0;0;0.0625;1.0625;0;0.5;0;0;0;0;3;0;0.15;1.15;0;0;0;0;0;1
0;1;2;4;1;0;0.0625;1.1458333333333333;0;0.5;0;0;0;0;3;0;0.375;1.2083333333333333;0;0;0;0;0;1
0;1;2;4;3;0;0.0625;1.2291666666666667;0;0.5;0;0;0;0;7;0;0.5;1.5;0;0;0;0;0;1
0;1;2;4;4;0;0.23076923076923078;1.1346153846153846;0.057692307692307696;0.5384615384615384;0;0;0;0;7;0;0.375;1.375;0;0;0;0;0;1
0;1;2;4;4;0;0.21428571428571427;1.4107142857142858;0.05357142857142857;0.5714285714285714;0;0;0;0;8;0;0.125;1.125;0;0;0;0;0;1
0;1;2;4;5;0;0.23076923076923078;1.4423076923076923;0.057692307692307696;0.6153846153846154;0;0;0;1;8;0;0.25;1.3611111111111112;0;0;0;0;0;1
0;1;2;4;11;0;0.21428571428571427;1.3392857142857142;0.05357142857142857;0.6428571428571429;0;0;0;1;8;0;0.20454545454545456;1.2045454545454546;0;0;0;0;0;1
0;1;2;4;20;0;0.2;1.25;0.05;0.6666666666666666;0;0;0;1;11;0;0.3409090909090909;0.7954545454545454;0.06818181818181818;0;0;0;0;1
0;1;2;4;28;0;0.2;1.25;0.05;0.6666666666666666;0;0;0;1;26;0;0.5454545454545454;1;0.06818181818181818;0;0;0;0;1
0;1;2;4;33;0;0.2;1.25;0.05;0.6666666666666666;0;0;0;1;35;0;0.5454545454545454;1.0909090909090908;0.06818181818181818;0;0;0;0;1
0;1;2;4;43;0;0.2;1.25;0.05;0.6666666666666666;0;0;0;1;41;0;0.3409090909090909;0.9772727272727273;0.06818181818181818;0;0;0;0;1
0;1;2;4;54;0;0.2;1.25;0.05;0.6666666666666666;0;0;0;1;47;0;0.5454545454545454;0.9090909090909091;0.06818181818181818;0;0;0;0;1
0;1;2;4;3;0;0.075;1.075;0;0.4;0;0;0;0;0;0;0.15;0.95;0;0;0;0;0;0
0;1;2;4;3;0;0.2727272727272727;1.1818181818181819;0;0.45454545454545453;0;0;0;0;0;0;0.10714285714285714;1.1071428571428572;0;0;0;0;0;0
0;1;2;4;7;0;0.2727272727272727;1.2727272727272727;0;0.45454545454545453;0;0;0;0;1;0;0;1.1428571428571428;0;0;0;0;0;0
